 X 	   Y	 analytical
1.6 	11.9915	   12.56
1.7 	11.7931	   12.3018
1.8 	11.6727	   12.1289
1.9 	11.6219	   12.0311
2 	11.6339	   12
2.1 	11.7031	   12.029
2.2 	11.8249	   12.1127
2.3 	11.9955	   12.2465
2.4 	12.2116	   12.4267
2.5 	12.4705	   12.65
2.6 	12.7697	   12.9138
2.7 	13.1074	   13.2159
2.8 	13.4816	   13.5543
2.9 	13.8907	   13.9272
3 	14.3333	   14.3333
1 	15.6883	   17
1.1 	14.6502	   15.7555
1.2 	13.8267	   14.7733
1.3 	13.176	   13.9977
1.4 	12.6675	   13.3886
1.5 	12.2785	   12.9167
1.6 	11.9915	   12.56
1.7 	11.7931	   12.3018
1.8 	11.6727	   12.1289
1.9 	11.6219	   12.0311
2 	11.6339	   12
2.1 	11.7031	   12.029
2.2 	11.8249	   12.1127
2.3 	11.9955	   12.2465
2.4 	12.2116	   12.4267
2.5 	12.4704	   12.65
2.6 	12.7697	   12.9138
2.7 	13.1074	   13.2159
2.8 	13.4815	   13.5543
2.9 	13.8907	   13.9272
3 	14.3333	   14.3333
value of m = -14.7422
